					TOTAL	S11: Job Level	S11: Job Level	S11: Job Level	S11: Job Level	S11: Job Level	S11: Job Level	S13: Business Unit	S13: Business Unit	S13: Business Unit	S13: Business Unit	S13: Business Unit	S13: Business Unit	S13: Business Unit	S13: Business Unit	S13: Business Unit	S13: Business Unit	S13: Business Unit	S13: Business Unit	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S10: Industry	S1: Age Generation	S1: Age Generation	S1: Age Generation	S1: Age Generation	S14: No. Of Employees	S14: No. Of Employees	S14: No. Of Employees	S14: No. Of Employees	S14: No. Of Employees	S14: No. Of Employees	S14: No. Of Employees	S14: No. Of Employees	S14: No. Of Employees	S14: No. Of Employees	S6: Work Location	S6: Work Location	S6: Work Location	S6: Work Location	S6: Work Location	S6: Work Location	S6: Work Location	S6: Work Location	S6: Work Location	S6: Work Location	S6: Work Location
ReportSection	Year	Table	Flag	Measure	ALL	CEO	Senior Executive	Senior Leader	Mid-Level Leader	First Level Supervisor/Manager	Individual Contributor	Accounting and Finance	Corporate Management	Customer Service	Human Resources	Information Technology	Marketing and Advertising	Operations	Production	Purchasing	Research and Development	Sales	Other	Technology	Not for profit	Media and Entertainment	Retail	Sports	Travel, Hospitality and Leisure	Healthcare	Life Sciences	Financial Services	Industrial	Clean Technology	Government	Energy	Telecommunications	Professional Services	Consumer Goods	Utility	Other	Gen Z	Millennial	Gen X	Baby Boomers	1 - 50	51 - 500	501 - 5,000	5,001 -  50,000	50,001 - 100,000	100,001 - 200,000	200,001 - 300,000	300,001 - 400,000	400,001 - 500,000	Over 500,000	USA	UK	France	Germany	UAE	Saudi Arabia	Singapore	India	Japan	Australia	Brazil
4 (FIVE)	2026	New job	Yes	Pay and compensation (e.g., salary, bonus, stock options)	0.85	0.78	0.85	0.85	0.85	0.86	0.84	0.85	0.81	0.84	0.83	0.88	0.81	0.88	0.82	0.84	0.86	0.85	0.85	0.86	0.83	0.82	0.85	0.82	0.84	0.88	0.86	0.85	0.86	0.84	0.86	0.87	0.85	0.85	0.86	0.81	1	0.83	0.86	0.84	0.84	0.83	0.86	0.86	0.86	0.8	0.83	0.76	0.87	0.88	0.89	0.85	0.9	0.79	0.77	0.89	0.88	0.92	0.88	0.77	0.88	0.89
4 (FIVE)	2026	New job	Yes	Employee benefits (e.g., healthcare, mental health and wellness services, Paid Time Off, complimentary food and services)	0.81	0.82	0.81	0.81	0.83	0.84	0.78	0.84	0.8	0.79	0.8	0.87	0.78	0.82	0.78	0.78	0.83	0.8	0.79	0.84	0.78	0.77	0.8	0.77	0.8	0.82	0.82	0.85	0.81	0.83	0.82	0.82	0.83	0.8	0.82	0.8	0.5	0.81	0.84	0.79	0.73	0.76	0.82	0.84	0.82	0.77	0.79	0.82	0.82	0.88	0.93	0.82	0.86	0.76	0.69	0.88	0.88	0.91	0.89	0.71	0.8	0.87
4 (FIVE)	2026	New job	Yes	Job security	0.83	0.83	0.84	0.84	0.83	0.85	0.82	0.85	0.81	0.82	0.83	0.87	0.8	0.84	0.8	0.83	0.84	0.84	0.8	0.86	0.81	0.81	0.84	0.77	0.82	0.83	0.86	0.84	0.85	0.84	0.85	0.81	0.86	0.83	0.86	0.79	1	0.83	0.84	0.83	0.79	0.81	0.85	0.85	0.83	0.79	0.79	0.77	0.87	0.81	0.89	0.83	0.9	0.79	0.73	0.9	0.86	0.88	0.89	0.76	0.85	0.85
4 (FIVE)	2026	New job	Yes	The work itself	0.8	0.87	0.81	0.79	0.8	0.83	0.77	0.81	0.79	0.79	0.78	0.84	0.8	0.83	0.75	0.8	0.82	0.8	0.77	0.84	0.78	0.79	0.79	0.78	0.79	0.83	0.81	0.82	0.81	0.81	0.79	0.82	0.8	0.8	0.81	0.75	1	0.79	0.82	0.79	0.78	0.78	0.81	0.82	0.81	0.75	0.78	0.76	0.82	0.83	0.87	0.81	0.89	0.76	0.74	0.86	0.84	0.85	0.85	0.61	0.83	0.78
4 (FIVE)	2026	New job	Yes	A feeling of being treated fairly and consistently relative to others	0.79	0.83	0.8	0.78	0.79	0.81	0.77	0.8	0.77	0.81	0.78	0.83	0.76	0.81	0.74	0.82	0.8	0.77	0.76	0.82	0.76	0.78	0.78	0.75	0.79	0.82	0.79	0.8	0.79	0.79	0.8	0.82	0.8	0.8	0.8	0.76	1	0.78	0.8	0.78	0.77	0.76	0.8	0.81	0.81	0.74	0.73	0.7	0.78	0.75	0.8	0.79	0.87	0.73	0.69	0.83	0.83	0.87	0.84	0.64	0.83	0.84
4 (FIVE)	2026	Stay	Yes	Pay and compensation (e.g., salary, bonus, stock options)	0.82	0.83	0.82	0.81	0.83	0.84	0.79	0.84	0.79	0.82	0.8	0.86	0.78	0.84	0.78	0.82	0.82	0.81	0.81	0.84	0.78	0.81	0.8	0.79	0.82	0.82	0.82	0.85	0.83	0.82	0.82	0.83	0.83	0.81	0.85	0.79	1	0.81	0.84	0.81	0.81	0.77	0.83	0.84	0.83	0.78	0.79	0.78	0.88	0.83	0.87	0.82	0.88	0.77	0.73	0.89	0.85	0.89	0.88	0.7	0.83	0.86
4 (FIVE)	2026	Stay	Yes	Employee benefits (e.g., healthcare, mental health and wellness services, Paid Time Off, complimentary food and services)	0.78	0.78	0.78	0.77	0.78	0.82	0.74	0.81	0.75	0.76	0.77	0.84	0.75	0.77	0.74	0.77	0.81	0.77	0.73	0.82	0.71	0.76	0.76	0.73	0.78	0.8	0.8	0.81	0.79	0.81	0.76	0.77	0.81	0.75	0.78	0.75	0.5	0.79	0.81	0.75	0.69	0.71	0.8	0.8	0.79	0.73	0.73	0.74	0.79	0.88	0.87	0.79	0.83	0.73	0.64	0.86	0.86	0.87	0.86	0.63	0.77	0.85
4 (FIVE)	2026	Stay	Yes	Job security	0.81	0.82	0.8	0.81	0.81	0.83	0.79	0.81	0.78	0.8	0.8	0.85	0.8	0.82	0.79	0.78	0.8	0.79	0.78	0.83	0.78	0.82	0.78	0.77	0.81	0.82	0.8	0.82	0.81	0.81	0.81	0.82	0.84	0.81	0.82	0.76	1	0.8	0.82	0.8	0.76	0.77	0.81	0.83	0.82	0.78	0.75	0.8	0.82	0.75	0.84	0.82	0.87	0.77	0.71	0.89	0.84	0.85	0.85	0.68	0.82	0.85
4 (FIVE)	2026	Stay	Yes	The work itself	0.75	0.83	0.78	0.75	0.74	0.78	0.7	0.76	0.75	0.73	0.73	0.81	0.73	0.75	0.69	0.76	0.75	0.73	0.73	0.8	0.73	0.76	0.73	0.73	0.73	0.78	0.75	0.76	0.72	0.77	0.72	0.74	0.75	0.73	0.78	0.7	1	0.74	0.77	0.74	0.71	0.72	0.75	0.77	0.77	0.71	0.7	0.71	0.77	0.78	0.76	0.75	0.86	0.69	0.68	0.8	0.81	0.83	0.82	0.5	0.76	0.73
4 (FIVE)	2026	Stay	Yes	A feeling of being treated fairly and consistently relative to others	0.77	0.81	0.78	0.76	0.77	0.79	0.75	0.77	0.76	0.77	0.75	0.81	0.75	0.78	0.72	0.78	0.77	0.76	0.75	0.79	0.74	0.76	0.77	0.73	0.77	0.78	0.78	0.79	0.76	0.75	0.77	0.79	0.77	0.78	0.77	0.73	1	0.76	0.79	0.75	0.78	0.74	0.78	0.79	0.77	0.73	0.74	0.76	0.79	0.73	0.71	0.79	0.83	0.7	0.69	0.82	0.83	0.82	0.83	0.62	0.78	0.8
4 (FIVE)	2026	Leave	Yes	Poor pay and compensation (e.g., salary, bonus, stock options)	0.73	0.78	0.73	0.73	0.73	0.76	0.71	0.77	0.72	0.73	0.73	0.78	0.67	0.74	0.68	0.73	0.75	0.72	0.71	0.73	0.69	0.73	0.74	0.69	0.73	0.76	0.75	0.76	0.74	0.71	0.72	0.72	0.75	0.75	0.76	0.7	1	0.71	0.76	0.71	0.69	0.69	0.74	0.76	0.74	0.68	0.69	0.65	0.82	0.72	0.78	0.74	0.81	0.67	0.65	0.79	0.79	0.8	0.77	0.58	0.75	0.77
4 (FIVE)	2026	Leave	Yes	Inadequate employee benefits (e.g., healthcare, mental health and wellness services, Paid Time Off, complimentary food and services)	0.69	0.72	0.69	0.67	0.69	0.74	0.66	0.75	0.68	0.66	0.7	0.75	0.64	0.69	0.66	0.69	0.71	0.67	0.63	0.73	0.64	0.66	0.66	0.65	0.68	0.72	0.69	0.73	0.69	0.71	0.68	0.72	0.7	0.66	0.69	0.67	1	0.73	0.72	0.66	0.56	0.61	0.7	0.72	0.7	0.66	0.73	0.68	0.74	0.73	0.76	0.71	0.74	0.66	0.6	0.76	0.81	0.75	0.77	0.52	0.65	0.75
4 (FIVE)	2026	Leave	Yes	Lack of job security	0.71	0.77	0.71	0.7	0.7	0.75	0.67	0.69	0.7	0.7	0.7	0.76	0.68	0.72	0.68	0.67	0.71	0.71	0.67	0.74	0.66	0.71	0.68	0.69	0.72	0.73	0.7	0.71	0.7	0.72	0.72	0.72	0.72	0.7	0.72	0.66	0.5	0.71	0.74	0.68	0.61	0.65	0.72	0.73	0.72	0.67	0.67	0.65	0.75	0.73	0.76	0.72	0.78	0.64	0.61	0.76	0.79	0.76	0.77	0.56	0.71	0.75
4 (FIVE)	2026	Leave	Yes	The work itself	0.64	0.74	0.66	0.64	0.63	0.67	0.6	0.67	0.67	0.62	0.63	0.71	0.62	0.63	0.58	0.63	0.65	0.63	0.6	0.69	0.64	0.66	0.6	0.63	0.64	0.67	0.66	0.67	0.62	0.66	0.6	0.65	0.65	0.62	0.64	0.61	0.5	0.65	0.66	0.62	0.59	0.58	0.65	0.67	0.65	0.61	0.6	0.64	0.66	0.7	0.56	0.64	0.72	0.59	0.59	0.67	0.72	0.7	0.72	0.44	0.64	0.61
4 (FIVE)	2026	Leave	Yes	A feeling of being treated fairly and consistently relative to others	0.63	0.68	0.63	0.62	0.64	0.67	0.6	0.66	0.63	0.64	0.63	0.68	0.6	0.63	0.59	0.67	0.63	0.6	0.57	0.67	0.63	0.63	0.61	0.62	0.63	0.66	0.65	0.66	0.63	0.62	0.62	0.65	0.61	0.62	0.64	0.58	1	0.65	0.66	0.6	0.56	0.58	0.63	0.66	0.65	0.6	0.61	0.63	0.68	0.69	0.62	0.66	0.68	0.58	0.56	0.69	0.71	0.69	0.7	0.48	0.63	0.65